volume_e	volume_a	volume_pr	ratio_e	ratio_a	ratio_pr
196.0	52.0	38.0	0.0714285714286	0.115384615385	0.210526315789
162.0	119.0	30.0	0.0864197530864	0.142857142857	0.266666666667
195.0	144.0	36.0	0.0564102564103	0.138888888889	0.222222222222
114.0	181.0	117.0	0.0526315789474	0.127071823204	0.230769230769
106.0	81.0	50.0	0.0566037735849	0.0864197530864	0.16
198.0	196.0	198.0	0.0808080808081	0.132653061224	0.262626262626
194.0	157.0	198.0	0.0824742268041	0.12101910828	0.343434343434
188.0	196.0	200.0	0.0851063829787	0.122448979592	0.27
197.0	175.0	38.0	0.0862944162437	0.142857142857	0.210526315789
91.0	66.0	31.0	0.0769230769231	0.151515151515	0.161290322581
198.0	152.0	54.0	0.0707070707071	0.131578947368	0.259259259259
179.0	188.0	49.0	0.0502793296089	0.159574468085	0.30612244898
183.0	151.0	23.0	0.0928961748634	0.152317880795	0.217391304348
200.0	197.0	36.0	0.12	0.187817258883	0.166666666667
98.0	94.0	24.0	0.102040816327	0.127659574468	0.25
125.0	183.0	50.0	0.104	0.103825136612	0.24
198.0	150.0	61.0	0.0707070707071	0.186666666667	0.27868852459
190.0	176.0	48.0	0.0736842105263	0.170454545455	0.25
197.0	196.0	38.0	0.106598984772	0.183673469388	0.210526315789
194.0	183.0	39.0	0.0824742268041	0.169398907104	0.282051282051
199.0	161.0	33.0	0.125628140704	0.155279503106	0.272727272727
174.0	181.0	38.0	0.0919540229885	0.149171270718	0.263157894737
195.0	75.0	27.0	0.107692307692	0.173333333333	0.185185185185
199.0	176.0	33.0	0.125628140704	0.181818181818	0.272727272727
121.0	187.0	31.0	0.0909090909091	0.144385026738	0.225806451613
