k,isim,isim10,eps,l1
1,1,1,0.9384194242,0.0304510135
5.1578947368,0.5088131668,0.9042063492,0.9310725939,0.0180845234
9.3157894737,0.4284904184,0.8775396825,0.7970833181,0.0146912788
13.4736842105,0.3770820589,0.8775396825,0.671475993,0.0124626837
17.6315789474,0.3480811702,0.8775396825,0.5590841087,0.0106228067
21.7894736842,0.3335382854,0.8775396825,0.4401176726,0.0087490169
25.9473684211,0.310643144,0.8675396825,0.3873044192,0.0078431839
30.1052631579,0.2834413828,0.8464285714,0.2801361506,0.006051353
34.2631578947,0.2424482061,0.8128174603,0.2333983391,0.0052030659
38.4210526316,0.2205860842,0.7892063492,0.1702890568,0.0042297599
42.5789473684,0.2445126188,0.7918650794,0.1880087895,0.004586789
46.7368421053,0.1918662197,0.6156349206,0.1291245106,0.0034799888
50.8947368421,0.1983743421,0.6431349206,0.1347169182,0.0035948082
55.0526315789,0.1791940561,0.5820238095,0.1260048005,0.0034581115
59.2105263158,0.135038887,0.3524603175,0.0934025473,0.0026925257
63.3684210526,0.1499490168,0.3415079365,0.1120579117,0.0031812105
67.5263157895,0.146305449,0.3756746032,0.0924261099,0.0027868557
71.6842105263,0.1280248606,0.3295634921,0.0846380767,0.0026889589
75.8421052632,0.179253714,0.5528571429,0.1157872696,0.0032569488
80,0.1484337392,0.4991269841,0.077687485,0.0024942568
