k,isim,isim10,eps,l1
1,0.7273884159,0.7071031746,0.7660272599,0.0149944023
5.1578947368,0.3886814665,0.398531746,0.6483649359,0.0081887719
9.3157894737,0.322113672,0.3401984127,0.6067487196,0.0068385357
13.4736842105,0.2804169271,0.3401984127,0.504246676,0.0057011945
17.6315789474,0.2669501441,0.4401984127,0.4210200896,0.0049499751
21.7894736842,0.2536869287,0.3401984127,0.3688294101,0.0044494807
25.9473684211,0.2332562029,0.373531746,0.318125344,0.0039394612
30.1052631579,0.2022035604,0.4401984127,0.2418040272,0.0031801246
34.2631578947,0.1990324602,0.488531746,0.2271568898,0.0030280529
38.4210526316,0.1684974094,0.3524206349,0.1798876938,0.0025492788
42.5789473684,0.1531873013,0.2774603175,0.1511946685,0.002283344
46.7368421053,0.1499697127,0.3709126984,0.1378686887,0.0021163042
50.8947368421,0.1401486172,0.3375793651,0.1120821679,0.0018321624
55.0526315789,0.141777122,0.3707936508,0.1005485322,0.0017504706
59.2105263158,0.1344398871,0.3209126984,0.1026002298,0.0017404611
63.3684210526,0.1205825595,0.2371825397,0.0889599287,0.0016257553
67.5263157895,0.1308454657,0.1946825397,0.1057380705,0.0018000324
71.6842105263,0.141005805,0.2815079365,0.093541892,0.001608533
75.8421052632,0.1185922136,0.2761111111,0.0765609662,0.0014490487
80,0.1294138692,0.2441269841,0.0892357522,0.001598557
