k,isim,isim10,isim100,eps,l1
1,1,1,0.985745162,0.0003994885,
5.1578947368,0.5934418626,0.9054365079,0.9210076505,0.0003244862,
9.3157894737,0.4021001988,0.8704365079,0.8110163202,0.0002592055,
13.4736842105,0.3154237217,0.8159920635,0.6752804461,0.0002146064,
17.6315789474,0.2830650238,0.7039285714,0.5576580445,0.0001838679,
21.7894736842,0.2616040365,0.6018650794,0.4813418476,0.0001609876,
25.9473684211,0.241571625,0.499484127,0.426876956,0.0001449044,
30.1052631579,0.2147380238,0.548531746,0.3477380274,0.0001256057,
34.2631578947,0.2122005054,0.526031746,0.333215326,0.0001184202,
38.4210526316,0.1926956054,0.2171825397,0.2954033128,0.0001092486,
42.5789473684,0.1974744057,0.3628571429,0.2863481463,0.0001040323,
46.7368421053,0.203013316,0.2940079365,0.2719376468,0.0001010701,
50.8947368421,0.1938552764,0.3235714286,0.2489234079,9.3497938718E-005,
55.0526315789,0.1865011985,0.3531349206,0.2412271238,9.0889584562E-005,
59.2105263158,0.1824299518,0.1669047619,0.2351954717,8.74904261811E-005,
63.3684210526,0.1786265472,0.1452777778,0.2135109824,8.37209290457E-005,
67.5263157895,0.1860795072,0.2074603175,0.2231639961,8.4672263154E-005,
71.6842105263,0.1891883099,0.2757936508,0.2164891489,8.26329003839E-005,
75.8421052632,0.1878022936,0.2953571429,0.2191540494,8.21005728074E-005,
80,0.1747046403,0.3317460317,0.1921350051,7.46359188357E-005,
