k,isim,isim10,isim100,eps,l1
1,0.4978234158,0.8455138889,0.4978234158,0.7659905298,0.0157334171
10.3201390399,0.0606346734,0.0810873016,0.0606346734,0.0059807709,0.0005472441
19.6402780798,0.0605809182,0.0664365079,0.0605809182,0.0064140716,0.0005595933
28.9604171198,0.0598079936,0.0702420635,0.0598079936,0.0076694549,0.0005724114
38.2805561597,0.0594930343,0.0636309524,0.0594930343,0.0063898346,0.0005432189
47.6006951996,0.0639755593,0.0732142857,0.0639755593,0.0072110393,0.0005866559
56.9208342395,0.062786667,0.068547619,0.062786667,0.0066896704,0.0005533291
66.2409732794,0.0600450106,0.0949920635,0.0600450106,0.006558484,0.0005488569
75.5611123194,0.0620558959,0.0749642857,0.0620558959,0.0066793356,0.0005683261
84.8812513593,0.063243883,0.0901666667,0.063243883,0.0068175556,0.0005700146
