k,isim,isim10,isim100,eps,l1
1,0.5053713023,0.8521904762,0.5053713023,0.7601838578,0.0155708996
10.3201390399,0.0595182826,0.0725079365,0.0595182826,0.0070967706,0.0005773915
19.6402780798,0.0573941275,0.0619603175,0.0573941275,0.0074594609,0.000565406
28.9604171198,0.0652273155,0.091452381,0.0652273155,0.0080166096,0.000579604
38.2805561597,0.0608503785,0.0527103175,0.0608503785,0.0066380987,0.0005643599
47.6006951996,0.0598573727,0.0640753968,0.0598573727,0.0066126395,0.0005683892
56.9208342395,0.0587423973,0.0581468254,0.0587423973,0.0066069084,0.0005571262
66.2409732794,0.0601410515,0.0658412698,0.0601410515,0.0061661369,0.0005437684
75.5611123194,0.0584791245,0.0501706349,0.0584791245,0.005992057,0.000559848
84.8812513593,0.0603331653,0.0589047619,0.0603331653,0.0070711003,0.0005655653
